,,,,,Feedback,FAQS,Contact Us
Home,About Dengue,Dengue,Dengue Updates,Newsroom,Resources,Contact,
,,Campaign,,,,,
Home > Dengue Clusters,,,,,,,
,,Location of Active Clusters,,,,,
Dengue Cases,,,,,,,
Dengue Clusters,,,,,,,
,, © 2014 OneMap,,,,,
,,,,Dengue Cluster Information @ NEA 2013 ,,,
,,,,Click here for more NEA information in OneMap,,,
,,"(Map data is updated at 1am.� Kindly clear your internet browser cache after each visit, in order to view the",,,,,
,,latest information.),,,,,
,,"Operationally, a dengue cluster indicates a locality with active transmission where intervention is targeted.",,,,,
,, It is formed when two or more cases have onset within 14 days and are located within 150m of each other,,,,,
,,(based on residential and workplace addresses as well as movement history). The clusters are categorised,,,,,
,,according to their current status. A list of preventive actions also accompanies each alert level. There are 3,,,,,
,alert levels:,,,,,,
,,,Definition,Alert Level,,,
,,High-risk area with 10 or more cases,,Red,,,
,,High-risk area with less than 10 cases,,Yellow,,,
,,"No new cases, under surveillance for the next 21",,Green,,,
,,,days,,,,
,,Each cluster map illustrates the extent of NEA's current vector control intervention. Please click on the,,,,,
,,cluster location to view the respective map.,,,,,
,,As at 15 August 2014,,,,,
,,,Cases,,,,
,,,with,,,,
,,,onset,Total,,,
,S/N,Locality,,,Breakdown,,
,,,in last,cases,,,
,,,2,,,,
,,,weeks,,,,
,,,,Location,No. of cases,,
,,,,Choa Chu Kang Avenue 2,,1,
,,,,Choa Chu Kang Avenue 2 (Blk 296),,30,
,,,,Choa Chu Kang Avenue 2 (Blk 296A),,25,
,,,,Choa Chu Kang Avenue 2 (Blk 296B),,23,
,,,,Choa Chu Kang Avenue 2 (Blk 296C),,13,
,,Choa Chu,,Choa Chu Kang Avenue 2 (Blk 296D),,4,
,,Kang Ave 2 /,,Choa Chu Kang Avenue 2 (Blk 296E),,7,
,,Choa Chu,,,,,
,Kang Ave 2,,,Choa Chu Kang Avenue 2 (Blk 297),15
,"(Blk 296,",,,Choa Chu Kang Avenue 2 (Blk 297A),1
,"296A, 296B,",,,,
,"296C, 296D,",,,Choa Chu Kang Avenue 2 (Blk 297B),2
,"296E, 297,",,,Choa Chu Kang Avenue 2 (Blk 297C),3
,"297A,�",,,,
,,,,Choa Chu Kang Avenue 2 (Blk 297D),11
,"297B, 297C,",,,,
,297D) / Choa,,,Choa Chu Kang Avenue 3,4
,Chu Kang,,,,
1,Ave 3 / Choa,2,533,Choa Chu Kang Avenue 5 (Blk 476A),14
,Chu Kang,,,Choa Chu Kang Avenue 5 (Blk 476B),6
,Ave 5 (Blk,,,Choa Chu Kang Avenue 5 (Blk 476C),10
,"476A, 476B,",,,,
,,,,Choa Chu Kang Avenue 5 (Blk 476D),17
,"476C, 476D,",,,,
,"483, 484,",,,Choa Chu Kang Avenue 5 (Blk 483),7
,"484A, 484B,",,,Choa Chu Kang Avenue 5 (Blk 484),21
,"484D, 485,",,,,
,"485A, 485B,",,,Choa Chu Kang Avenue 5 (Blk 484A),6
,"485C, 485D,",,,Choa Chu Kang Avenue 5 (Blk 484B),10
,486) / Choa,,,,
,,,,Choa Chu Kang Avenue 5 (Blk 484D),10
,Chu Kang,,,,
,Ave 5 / Keat,,,Choa Chu Kang Avenue 5 (Blk 485),7
,Hong Cl,,,Choa Chu Kang Avenue 5 (Blk 485A),12
,,,,Choa Chu Kang Avenue 5 (Blk 485B),5
,,,,Choa Chu Kang Avenue 5 (Blk 485C),12
,,,,Choa Chu Kang Avenue 5 (Blk 485D),43
,,,,Choa Chu Kang Avenue 5 (Blk 486),17
,,,,Choa Chu Kang Ave 5,187
,,,,Keat Hong Close,10
,,,,Location,No. of cases
,,,,Choa Chu Kang Avenue 2 (Blk 271),10
,,,,Choa Chu Kang Avenue 2 (Blk 272),6
,,,,Choa Chu Kang Avenue 2 (Blk 273),4
,,,,Choa Chu Kang Avenue 2 (Blk 274),5
,,,,Choa Chu Kang Avenue 2 (Blk 275),1
,,,,Choa Chu Kang Avenue 2 (Blk 276),2
,,,,Choa Chu Kang Avenue 2 (Blk 287),6
,,,,Choa Chu Kang Avenue 2 (Blk 294),13
,,,,Choa Chu Kang Avenue 2 (Blk 295),10
,,,,Choa Chu Kang Avenue 3 (Blk 280),3
,,,,Choa Chu Kang Avenue 3 (Blk 281),1
,,,,Choa Chu Kang Avenue 3 (Blk 282),3
,,,,Choa Chu Kang Avenue 3 (Blk 283),5
,,,,Choa Chu Kang Avenue 3 (Blk 284),1
,,,,Choa Chu Kang Avenue 3 (Blk 285),4
,,,,Choa Chu Kang Avenue 3 (Blk 286),2
,,,,Choa Chu Kang Avenue 3 (Blk 287),3
,,,,Choa Chu Kang Avenue 3 (Blk 288),2
,Choa Chu,,,,
,Kang Ave 2,,,Choa Chu Kang Avenue 3 (Blk 289),8
,"(Blk 271,",,,Choa Chu Kang Avenue 3 (Blk 290),13
,"272, 273,",,,,
,,,,Choa Chu Kang Avenue 3 (Blk 291),12
,"274, 275,",,,,
,"276, 287,",,,Choa Chu Kang Avenue 3 (Blk 292),1
,"294, 295) /",,,Choa Chu Kang Avenue 3 (Blk 293),14
,Choa Chu,,,,
,Kang Ave 3,,,Choa Chu Kang Avenue 3 (Blk 401),4
,"(Blk 280,",,,Choa Chu Kang Avenue 3 (Blk 402),1
,"281, 282,",,,,
,,,,Choa Chu Kang Avenue 3 (Blk 403),3
,"283, 284,",,,,
,"285, 286,",,,Choa Chu Kang Avenue 3 (Blk 404),2
,"287, 288,",,,Choa Chu Kang Avenue 3 (Blk 405),1
,"289, 290,",,,,
,"291, 292,",,,Choa Chu Kang Avenue 3 (Blk 406),4
,"293, 401,",,,Choa Chu Kang Avenue 3 (Blk 408),3
,"402, 403,",,,,
,,,,Choa Chu Kang Avenue 3 (Blk 409),1
,"404, 405,",,,,
2,"406, 408,",3,225,Choa Chu Kang Avenue 3 (Blk 411),1
,"409, 411,",,,Choa Chu Kang Avenue 3 (Blk 412),1
,"412, 469,",,,,
,"470, 471,",,,Choa Chu Kang Avenue 3 (Blk 469),11
,"472, 473,",,,Choa Chu Kang Avenue 3 (Blk 470),10
,474) / Choa,,,,
,,,,Choa Chu Kang Avenue 3 (Blk 471),2
,Chu Kang,,,,
,Ave 4 (Blk,,,Choa Chu Kang Avenue 3 (Blk 472),4
,"414, 417,",,,Choa Chu Kang Avenue 3 (Blk 473),2
,"420, 421,",,,,
,"422, 423,",,,Choa Chu Kang Avenue 3 (Blk 474),3
,"425, 426,",,,Choa Chu Kang Avenue 4 (Blk 414),1
,"427, 430,",,,Choa Chu Kang Avenue 4 (Blk 417),1
,"431, 435,",,,,
,"440, 443,",,,Choa Chu Kang Avenue 4 (Blk 420),1
,"446, 447,",,,Choa Chu Kang Avenue 4 (Blk 421),1
,"448, 452,",,,,
,,,,Choa Chu Kang Avenue 4 (Blk 422),2
,"454, 458,",,,,
,"460, 462,",,,Choa Chu Kang Avenue 4 (Blk 423),1
,"463, 465)",,,Choa Chu Kang Avenue 4 (Blk 425),3
,,,,Choa Chu Kang Avenue 4 (Blk 426),1
,,,,Choa Chu Kang Avenue 4 (Blk 427),1
,,,,Choa Chu Kang Avenue 4 (Blk 429),1
,,,,Choa Chu Kang Avenue 4 (Blk 430),1
,,,,Choa Chu Kang Avenue 4 (Blk 431),2
,,,,Choa Chu Kang Avenue 4 (Blk 435),1
,,,,Choa Chu Kang Avenue 4 (Blk 440),1
,,,,Choa Chu Kang Avenue 4 (Blk 443),2
,,,,Choa Chu Kang Avenue 4 (Blk 446),1
,,,,Choa Chu Kang Avenue 4 (Blk 447),1
,,,,Choa Chu Kang Avenue 4 (Blk 448),4
,,,,Choa Chu Kang Avenue 4 (Blk 452),3
,,,,Choa Chu Kang Avenue 4 (Blk 454),1
,,,,Choa Chu Kang Avenue 4 (Blk 458),4
,,,,Choa Chu Kang Avenue 4 (Blk 460),2
,,,,Choa Chu Kang Avenue 4 (Blk 462),1
,,,,Choa Chu Kang Avenue 4 (Blk 463),3
,,,,Choa Chu Kang Avenue 4 (Blk 465),3
,,,,Location,No. of cases
,,,,Circuit Link,10
,,,,Circuit Road (Blk 37),8
,,,,Circuit Road (Blk 38),2
,,,,Circuit Road (Blk 39),3
,,,,Circuit Road (Blk 40),4
,,,,Circuit Road (Blk 41),1
,,,,Circuit Road (Blk 42),5
,,,,Circuit Road (Blk 43),1
,,,,Circuit Road (Blk 44),3
,,,,Circuit Road (Blk 45),1
,,,,Circuit Road (Blk 46),4
,,,,Circuit Road (Blk 47),5
,,,,Circuit Road (Blk 48),7
,,,,Circuit Road (Blk 49),2
,,,,Circuit Road (Blk 50),9
,,,,Circuit Road (Blk 51),6
,Circuit Link /,,,Circuit Road (Blk 52),5
,Circuit Rd,,,Circuit Road (Blk 54),1
,"(Blk 37, 38,",,,,
,"39, 40, 41,",,,Circuit Road (Blk 55),1
,"42, 43, 44,",,,Circuit Road (Blk 57),9
,"45,� 46, 47,",,,,
