"ConditionName","ConditionSNOMED","PathogenName","PathogenTaxonID","Fatalities","CountryName","CountryISO","Admin1Name","Admin1ISO","Admin2Name","CityName","PeriodStartDate","PeriodEndDate","PartOfCumulativeCountSeries","AgeRange","Subpopulation","PlaceOfAcquisition","DiagnosisCertainty","SourceName","CountValue"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1993-01-01","1993-01-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","41"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1993-02-01","1993-02-28","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","52"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1993-03-01","1993-03-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","35"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1993-04-01","1993-04-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","45"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1993-05-01","1993-05-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","55"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1993-06-01","1993-06-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","56"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1993-07-01","1993-07-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","67"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1993-08-01","1993-08-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","52"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1993-09-01","1993-09-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","54"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1993-10-01","1993-10-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","26"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1993-11-01","1993-11-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","16"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1993-12-01","1993-12-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","31"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1994-01-01","1994-01-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","17"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1994-02-01","1994-02-28","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","27"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","1994-03-01","1994-03-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","9"
